,name,latitude,longitude,address
83,대동병원,35.1577915,129.0499846,"721 Gaya-daero, Danggam-dong, Busanjin-gu, Busan, South Korea"
84,동래구보건소 ,35.1697738,129.0770884,"62 Yangjeong-ro, Yangjeong-dong, Busanjin-gu, Busan, South Korea"
85,인제대학교부산백병원,35.1468885,129.0583337,"605 Jungang-daero, Beomcheon-dong, Busanjin-gu, Busan, South Korea"
86,부산진구보건소,36.814962,127.11481,"234-1 Buldang-dong, Seobuk-gu, Cheonan-si, Chungcheongnam-do, South Korea"
87,온종합병원,37.556895,126.850927,"389 Gonghang-daero, Deungchon 3(sam)-dong, Gangseo-gu, Seoul, South Korea"
88,동의병원,35.2095851,129.0045422,"1786 Nakdong-daero, Gupo-dong, Buk-gu, Busan, South Korea"
89,춘해병원,35.152417,128.992039,"242 Hakgam-daero, Gamjeon-dong, Sasang-gu, Busan, South Korea"
90,북구보건소,35.1504973,129.0081773,"326 Gaya-daero, Jurye 2(i)-dong, Sasang-gu, Busan, South Korea"
91,의료법인 인당의료재단 부민병원,35.0943098,128.9594344,"2 Hasinbeonyeong-ro 127(baegisip, Sinpyeong-dong, Saha-gu, Busan, South Korea"
92,구포성심병원,37.5444051,126.6739044,"South Korea, 심곡동 246-1번지 서구 인천광역시 KR"
93,사상구보건소,35.1199772,129.0175653,"26 Daesingongwon-ro, Dongdaesindong 3(sam)-ga, Seo-gu, Busan, South Korea"
94,좋은삼선병원,35.0803993,129.0159305,"262 Gamcheon-ro, Amnam-dong, Seo-gu, Busan, South Korea"
95,사하구보건소,35.1126724,129.0111494,"170 Daeti-ro, Seodaesindong 2(i)-ga, Seo-gu, Busan, South Korea"
96,서구 보건소,35.1500199,129.1107612,"493 Suyeong-ro, Namcheon 1(il)-dong, Suyeong-gu, Busan, South Korea"
97,동아대학교병원,35.1608349,129.1131908,"615 Suyeong-ro, Gwangan-dong, Suyeong-gu, Busan, South Korea"
98,고신대학교복음병원,35.1768327,129.0791413,"2 Yeonje-ro, Yeonsan-dong, Yeonje-gu, Busan, South Korea"
99,삼육부산병원,35.0902862,129.0680202,"423 Taejong-ro, Cheonghak 2(i)-dong, Yeongdo-gu, Busan, South Korea"
100,좋은강안병원,35.0922587,129.0405361,"71 Daegyodong 2(i)-ga, Yeongdo-gu, Busan, South Korea"
101,수영구보건소,35.0919318,129.0439555,"133 Taejong-ro, Bongnae 1(il)-dong, Yeongdo-gu, Busan, South Korea"
102,비에이치한서병원,37.5638401,127.0154705,"16 Dasan-ro 39-gil, Muhak-dong, Jung-gu, Seoul, South Korea"
103,연제구보건소,35.1072868,129.032531,"121 Junggu-ro, Daecheongdong 4(sa)-ga, Jung-gu, Busan, South Korea"
104,영도구보건소,35.1641139,129.1786601,"59 Yangun-ro 37beon-gil, Jwa 2(i)-dong, Haeundae-gu, Busan, South Korea"
105,영도병원,35.161392,129.155863,"584 Haeun-daero, U-dong, Haeundae-gu, Busan, South Korea"
106,해동병원,35.1734932,129.1819789,"875 Haeun-daero, Jwa 4(sa)-dong, Haeundae-gu, Busan, South Korea"
107,중구 보건소,35.8472995,128.5848913,"South Korea, Daegu, Daemyeong-dong, 영남대학교의료원"
108,메리놀병원,35.8437163,128.5680041,"3056-6 Daemyeong-dong, Nam-gu, Daegu, South Korea"
109,해운대구보건소,37.461015,126.677363,"25 Juanseo-ro, Dohwa 1(il)-dong, Incheon, South Korea"
110,해운대부민병원,37.534993,126.722517,"852-40 Jakjeon-dong, Gyeyang-gu, Incheon, South Korea"
111,인제대학교해운대백병원,35.853411,128.4800187,"1035 Dalgubeol-daero, Sindang-dong, Dalseo-gu, Daegu, South Korea"
112,영남대학교병원,35.8507164,128.541442,"141 Gamsambuk-gil, Gamsam-dong, Dalseo-gu, Daegu, South Korea"
113,대구 가톨릭대학교병원,35.8331582,128.5542011,"200 Songhyeon-dong, Dalseo-gu, Daegu, South Korea"
114,남구보건소,35.8366663,128.5517369,"220 Guma-ro, Songhyeon-dong, Dalseo-gu, Daegu, South Korea"
115,드림병원,35.694787,128.44027,"17 Biseul-ro 130-gil, Hyeonpung-myeon, Dalseong-gun, Daegu, South Korea"
116,달서구보건소,35.883886,128.624077,"South Korea, Daegu, Dong-gu, 아양로 99"
117,계명대학교 동산병원,37.655909,126.776126,"South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Madu-dong, 1010"
118,의료법인구의료재단 구병원,36.814962,127.11481,"234-1 Buldang-dong, Seobuk-gu, Cheonan-si, Chungcheongnam-do, South Korea"
119,삼일병원,35.9349066,128.5492967,"440 Chilgokjungang-daero, Eupnae-dong, Buk-gu, Daegu, South Korea"
120,세강병원,37.5444051,126.6739044,"South Korea, 심곡동 246-1번지 서구 인천광역시 KR"
121,달성군보건소,35.8446059,128.6122499,"213 Suseong-ro, Jung-dong, Suseong-gu, Daegu, South Korea"
122,대구파티마병원,37.5638401,127.0154705,"16 Dasan-ro 39-gil, Muhak-dong, Jung-gu, Seoul, South Korea"
123,동구보건소,37.7370885,126.4852352,"214-1 Namsan-ri, Ganghwa-eup, Ganghwa-gun, Incheon, South Korea"
124,북구보건소,37.7311247,126.4781602,"31 Chungnyeolsa-ro, Ganghwa-eup, Ganghwa-gun, Incheon, South Korea"
125,대구가톨릭대학교 칠곡가톨릭병원,37.5322569,126.7343276,"900-4 Jakjeon-dong, Gyeyang-gu, Incheon, South Korea"
126,서구보건소,37.5321071,126.7368433,"South Korea, Incheon, Gyeyang-gu, 909번지"
127,수성구보건소,37.5374507,126.7375494,"1079-1 Gyesan-dong, Gyeyang-gu, Incheon, South Korea"
128,중구보건소,37.4478227,126.7304137,"633 Sorae-ro, Mansu 6(yuk)-dong, Namdong-gu, Incheon, South Korea"
129,강화군보건소,37.4816664,126.6457594,"214 Saetgol-ro, Songrim-dong, Dong-gu, Incheon, South Korea"
130,비에스종합병원,37.655909,126.776126,"South Korea, Gyeonggi-do, Goyang-si, Ilsandong-gu, Madu-dong, 1010"
131,한림병원,37.4614899,126.6429794,"340-1 Sungui-dong, Nam-gu, Incheon, South Korea"
132,메디플렉스 세종병원,37.461015,126.677363,"25 Juanseo-ro, Dohwa 1(il)-dong, Incheon, South Korea"
133,계양구보건소,37.4622095,126.6806986,"South Korea, Incheon, Nam-gu, 미추홀대로 726"
134,남동구보건소,37.4847425,126.7248777,"56 Dongsu-ro, Bupyeong-dong, Bupyeong-gu, Incheon, South Korea"
135,의료법인성수의료재단인천백병원,37.5070301,126.7201013,"175 Bupyeong-daero, Cheongcheon 2(i)-dong, Bupyeong-gu, Incheon, South Korea"
136,동구보건소,37.4761818,126.7539528,"47-3 Gusan-dong, Bupyeong-gu, Incheon, South Korea"
137,현대유비스 병원,37.4987886,126.7242462,"291 Buheung-ro, Bupyeong-dong, Bupyeong-gu, Incheon, South Korea"
138,미추홀구보건소,37.5424593,126.6838205,"25 Simgok-ro 100beon-gil, Yeonhui-dong, Seo-gu, Incheon, South Korea"
